country,economy_code,iso_code,region,income_group,year,wbl_index,mobility,living_choice,travel_outside_home,passport_apply,travel_outside_country,workplace,get_job,law_gender_discr,employ_harrass_legisl,employ_harrass_crim_penalty,pay,equal_pay,night_work,dangerous_job,industrial_job,marriage,law_married_obey,head_of_hh,legisl_dom_violence,obtain_judgement_divorce,rights_remarry,parenthood,mother_paid_leave_avail,paid_mat_leave_length,gov_benefits_mat_leave,father_paid_leave_avail,paid_pat_leave_length,paid_parental_leave_avail,shared_days,mother_num_days,father_num_days,dismiss_preg_workers,entrepreneurship,credit_access_gender_discrim,sign_contract,register_business,open_bank_acc,assets,immov_prop_ownership,children_inherit_assets,surviving_spouses_inherit_assets,spouses_admin_authority_assets,valuation_nonmon_contrib,pension,retire_age_full_benefits,retire_age_partial_benefits,mandatory_retire_age,pension_ben_childcare_absence,total,overnight,oneday,cruise,expenditures
Afghanistan,AFG,AFG,South Asia,Low income,1995,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,1996,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,1997,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,1998,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,1999,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2000,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2001,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2002,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2003,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2004,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2005,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2006,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2007,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,NA
Afghanistan,AFG,AFG,South Asia,Low income,2008,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,57000
Afghanistan,AFG,AFG,South Asia,Low income,2009,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,89000
Afghanistan,AFG,AFG,South Asia,Low income,2010,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,147000
Afghanistan,AFG,AFG,South Asia,Low income,2011,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,165000
Afghanistan,AFG,AFG,South Asia,Low income,2012,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,167000
Afghanistan,AFG,AFG,South Asia,Low income,2013,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,179000
Afghanistan,AFG,AFG,South Asia,Low income,2014,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,121000
