Country,Economy Code,ISO Code,Region,Income Group,Year,WBL INDEX,MOBILITY,Can a woman choose where to live in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can a woman work at night in the same way as a man?,Can a woman work in a job deemed dangerous in the same way as a man?,Can a woman work in an industrial job in the same way as a man?,MARRIAGE,Is the law free of legal provisions that require a married woman to obey her husband?,Can a woman be head of household in the same way as a man?,Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Length of paid maternity leave,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Length of paid paternity leave,Is there paid parental leave?,Shared days,Days for the mother,Days for the father,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Does the law prohibit discrimination in access to credit based on gender?,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do male and female surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Is the age at which men and women can retire with full pension benefits the same?,Is the age at which men and women can retire with partial pension benefits the same?,Is the mandatory retirement age for men and women the same?,Are periods of absence due to childcare accounted for in pension benefits?,Total(thousands),Overnight(thousands),OneDay(thousands),Cruise(thousands),Expenditures(USMillion)
Afghanistan,AFG,AFG,South Asia,Low income,1995,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,1996,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,1997,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,1998,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,1999,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,2000,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,2001,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,2002,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,2003,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,..
Afghanistan,AFG,AFG,South Asia,Low income,2004,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA,NA,NA,NA,..
